Holy-Bible---Bondei---Bondei-Bible---Standard-Edition.toml	Bondei Bible	Bondei Bible	Bondei	Bondei	463123
Holy-Bible---Borna---Borna-Latin-Bible---Standard-Edition.toml	Borna Bible Latin Version	Handr Taara	Borna	Borni	1008468
Holy-Bible---Breton---Breton-Gospels---Standard-Edition.toml	Breton Gospels	an Bibl	Breton	Brezhoneg	458419
Holy-Bible---Bu---Bauchi-Bu-Bible---Standard-Edition.toml	Bu Bauchi Bible	Geji Bauchi Bible	Bu	Geji	220891
Holy-Bible---Bu---Bu-Bible---Standard-Edition.toml	Bu Bible	Jida Bible	Bu	Jida	835995
Holy-Bible---Bugun---Bugun-Bible---Standard-Edition.toml	Bugun Bible	Iwo Surua Mua Wie Pha Bible	Bugun	Khowa	1264716
Holy-Bible---Bulgarian---Bulgarian-Bible---Standard-Edition.toml	Bulgarian Bible	Българска Библия	Bulgarian	Българска	6585740
Holy-Bible---Bwile---Bwile-Bible---Standard-Edition.toml	Bwile Bible	Bwile Bible	Bwile	Bwile	145740
Holy-Bible---Calo---Calo-Bible---Standard-Edition.toml	Calo Gospel of Luke	Evangelio Español Romaní de Lucas	Calo	Romaní	147160
Holy-Bible---Cebuano---Cebuano-Bible---Standard-Edition.toml	Cebuano Bible	Balaan nga Bibliya	Cebuano	Cebuano	5127662
Holy-Bible---Cebuano---Cebuano-Open-Bible---Standard-Edition.toml	Cebuano Open Bible	Ang Pulong sa Dios	Cebuano	Cebuano	4755956
Holy-Bible---Cebuano---Cebuano-Philippine---Standard-Edition.toml	Cebuano Bible, Revelation	Cebuano Ang Biblia, Pinadayag	Cebuano	Cebuano	5219478
Holy-Bible---Chamorro---Chamorro-Gospels-Acts-and-Psalms---Standard-Edition.toml	Chamorro Gospels, Acts, Psalms	Y Cuatro Ebangelio Sija Yan Y Checho Y Apostoles Yan Y Salmo Sija	Chamorro	Chamorro	832864
Holy-Bible---Cherokee---Cherokee-New-Testament---Standard-Edition.toml	Cherokee New Testament 1860	ᏣᎳᎩ ᎦᏬᏂᎯᏍᏗ	Cherokee	ᏣᎳᎩ ᎦᏬᏂᎯᏍᏗ	1674968
Holy-Bible---Chhattisgarhi---Chhattisgarhi-Bible---Standard-Edition.toml	Chhattisgarhi Bible	सुतंतर समकालीन छत्तीसगढ़ी अनुवाद	Chhattisgarhi	छत्तीसगढ़ी	9751544
Holy-Bible---Chichewa---Chichewa-Bible---Standard-Edition.toml	Chichewa Bible	Tsekulani Mawu a Mulungu	Chichewa	Chichewa	4374054
Holy-Bible---Chin-Daai---Daai-Chin-Bible---Standard-Edition.toml	Daai Chin Bible	Dai Cangcim Kthai	Chin, Daai	Daai	1068888
Holy-Bible---Chin-Eastern-Khumi---Asang-Khongca-Bible---Standard-Edition.toml	Eastern Khumi Chin Bible	Asang Khongca Bible	Chin, Eastern Khumi	Asaang Khongca	4700152
Holy-Bible---Chin-Matu---Matupi-Chin-2019---Standard-Edition.toml	Matupi Chin Standard Bible 2019	Baibal Olcim	Chin, Matu	Matupi Chin	4214081
Holy-Bible---Chin-Matu---Matupi-Chin-Bible---Standard-Edition.toml	Matupi Chin Standard Bible	Baibal Olcim	Chin, Matu	Matupi Chin	4213176
Holy-Bible---Chin-Matu---Tuivang-Matu-Chin-Bible---Standard-Edition.toml	Tuivang Matu Chin Bible	Tuivang Holy Bible	Chin, Matu	Tuivang	1486906
Holy-Bible---Chin-Siyin---Siyin-Chin-Bible---Standard-Edition.toml	Siyin Chin Bible	Tinaung Takluem	Chin, Siyin	Siyin Chin	1063466
Holy-Bible---Chin-Thado---Chongthu-Bible---Standard-Edition.toml	Chongthu Bible	Pathen Lekhabu Theng	Chin, Thado	Chongthu	4772596
Holy-Bible---Chin-Thaiphum---Thai-Phum-Bible---Standard-Edition.toml	Thai Phum Holy Bible	Thai Phum Holy Bible	Chin, Thaiphum	Thai Phum	4385984
Holy-Bible---Chinese---Chinese-Easy-to-Read---Standard-Edition.toml	Free Easy to Read Bible	免费的易读圣经	Chinese	汉语	896301
Holy-Bible---Chinese---Chinese-Sigao-Bible---Standard-Edition.toml	Sīgāo Běn, Bible	思高本 聖經：思高聖經學會譯釋	Chinese	漢語	3546249
Holy-Bible---Chinese---Chinese-Union-Version-Simplified---Standard-Edition.toml	Chinese Union Version Simplified	新标点和合本	Chinese	汉语	3368764
Holy-Bible---Chinese---Chinese-Union-Version-Traditional---Standard-Edition.toml	Chinese Union Version Traditional	新標點和合本	Chinese	漢語	3378447
Holy-Bible---Chinese---Mandarin-Bible-Simplified---Standard-Edition.toml	Mandarin Open Bible (Simplified)	圣经当代译本开放资源	Chinese	汉语	3296829
Holy-Bible---Chinese---Mandarin-Bible-Traditional---Standard-Edition.toml	Mandarin Open Bible (Traditional)	聖經，當代譯本開放資源	Chinese	汉语	3296896
Holy-Bible---Chiyawo---Yao---Standard-Edition.toml	Yao New Testament	Lilangano lya Sambano	Ciyawo	Ciyawo	1223485
Holy-Bible---Cishingini---Cishingini-Bible---Standard-Edition.toml	Cishingini Shingini Bible	Cishingini Shingini Bible	Cishingini Shingini	Cishingini Shingini	3235137
Holy-Bible---Coptic---Coptic-Boharic-NT---Standard-Edition.toml	Coptic Boharic New Testament	ϯⲙⲉⲧⲣⲉⲙⲛ̀ⲭⲏⲙⲓ	Coptic Boharic	ϯⲙⲉⲧⲣⲉⲙⲛ̀ⲭⲏⲙⲓ	2099410
Holy-Bible---Coptic---Coptic-NT---Standard-Edition.toml	Coptic New Testament	ⲧⲙⲛ̄ⲧⲣⲙ̄ⲛ̄ⲕⲏⲙⲉ	Coptic	ⲧⲙⲛ̄ⲧⲣⲙ̄ⲛ̄ⲕⲏⲙⲉ	2264413
Holy-Bible---Coptic---Sahidic-Bible---Standard-Edition.toml	Coptic Sahidic NT: Askeland, Schulz	ⲧⲙⲛ̄ⲧⲣⲙ̄ⲛ̄ⲕⲏⲙⲉ	Coptic	ⲧⲙⲛ̄ⲧⲣⲙ̄ⲛ̄ⲕⲏⲙⲉ	1936457
Holy-Bible---Coptic---Sahidic-Coptic-Horner---Standard-Edition.toml	Coptic Sahidic NT: Horner	ⲧⲙⲛ̄ⲧⲣⲙ̄ⲛ̄ⲕⲏⲙⲉ	Coptic	ⲧⲙⲛ̄ⲧⲣⲙ̄ⲛ̄ⲕⲏⲙⲉ	2040760
Holy-Bible---Croatian---Croatian-Bible---Standard-Edition.toml	Croatian Bible	Hrvatski Biblija	Croatian	Hrvatski	3559419
Holy-Bible---Croatian---Croatian-Open-Bible---Standard-Edition.toml	Croatian Open Bible	Open Knjiga O Kristu	Croatian	Hrvatski	896347
Holy-Bible---Cung---Chung-Bible---Standard-Edition.toml	Chung Bible	Kiŋwakti ki Nyɔ Miŋkaiŋ Mifiaŋ	Cung	Chung	1404273
Holy-Bible---Czech---Czech-Bible-Kralicka---Standard-Edition.toml	Czech Bible Kralicka 1613	Czech Bible Kralicka 1613	Czech	Čeština	4032429
Holy-Bible---Czech---Kralicka---Standard-Edition.toml	Czech Kralická Bible 1613	Bible Kralická 1613	Czech	Čeština	4046837
Holy-Bible---Czech---Living-Bible---Standard-Edition.toml	Czech Living New Testament	Open Slovo Na Cestu	Czech	Čeština	946347
Holy-Bible---Danish---Danish-1871-1907---Standard-Edition.toml	Danish Bible OT1871 / NT1907	Dansk Bibel	Danish	Dansk	4050080
Holy-Bible---Danish---Danish-1931-1907---Standard-Edition.toml	Danish Bible OT1931 / NT1907	Dansk Bibel	Danish	Dansk	3821323
