3a0000000b	aBiraniyawa
3a030100b5	Wərike nongo, aruwanke ham hare nsano, haremay sa are bidii ne aməmo ngaasa me Ashini, yanen ndunkinze ne ashini ha Yeso, awaasa ⁺ticuwana a wo ure bituma ne Borewono wo mPiris.
3a03020080	˂Ukuyane kiwenden ne aməmo apuwa sa awaasa ˂ukuzangneke-wo utare, tantaasa Mosa ˂ukuyane kiwenden ne aməmo ukura wo Ashini.
3a03030060	Bigana bee sa ⁺utiya ukura, umənu woo umaane wo ukuraw, anongo umənu wo Yeso umaane wo Mosa.
3a03040051	Kuwede uje ukura uciye awaasa ⁺utiya una, ama Ashini a wo ⁺utiya kuwede yina.
3a0305007f	Mosa biriyare bo Ashini, ˂ukuyane kiwenden ne unaafase wo ukura wo Ashini, ˂ukudonkize apuwa sa Ashini uta udonke niya ubusa.
3a030600b8	Ama Animasihu sa wo a Vana, ˂ukuyane kiwenden ne ashini ha ukura wo Ashini. Haro a agana ha ukura woo ka ꞊tipiti ugaso wo iruwa yooro ne uwuna wo iruwa yee sa tire ne ubuwerinze ne.
3a03070055	Wərike nongo, tantaasa Bidiri Bisanobo ˃ugose, “Yenəy, ka ⁺igofe niviyaw newo,
3a0308008b	kate iyane unyif wo iruwa tantaasa ˂ikiyane agabaa sa ˂ikigaa-ye udafe wom, ne agabaa sa ˂ikinaase iyiyame baa me a ana ne aməmo ndare,
3a0309007b	kitiya sa ncaaran maye ˂akanaase ayiyame baa me a ana, hane ⁺anay apuwa amənsuha sa ˂nkiyane ndare tinay akuri anaaze.
3a030a0088	A ana ⁺awuna ˂nkiyane ukara ne ha, hane ⁺nkuna, ‘Iruwa yeha izaw kom kuwede aje agaba, adaake ayiyama apuwa sa ntare-ha ayane.’
3a030b005e	Wərike nongo ⁺n-yane ituna ne aməmo ukara wom, ‘Aza amage anugi-ha nivanzanko nom.’”
