3a0000000b	aBiraniyawa
3a060100f9	Wərike nongo, sa tijese udonkize wee sa ꞊akacebe ayane ne ashini ha Animasihu, a tine ubusa ne uhaaranzo, ticuge hare ungmaa ne uyiyama. Kate tikuri tiyane anaza ha ujese wo uyane wo apuwa araa sa ꞊akiyeri ungməne, a ha une wo iruwa ke Ashini,
3a06020082	udonkize ne ashini ha ubaptisma, udarigisa wo agana taare, nininki ne haremay sa ˂anangməne, a nhara me anowa ne araa me umanne.
3a06030020	Ka Ashini ukpaa, tatiyane nongo.
3a06040077	Aza amage acugeha akone haremay sa ˂akamare ane-ha uyiyama, ⁺aciye upase sa ⁺udi ashini, ⁺aciye Bidiri Bisanobo,
3a06050068	⁺agofe uniyamto wo apuwa anowa ha anaza ha Ashini a ugaso wo Ashini sa ata adonke ne ayeha sa ayiyezi,
3a060600ab	ka ⁺ajese uwunda, a akone avoore ke Ashini, wərike hay ⁺adonke ha ne aciye haa, are ne uberike wo Vana bo Ashini ne uriya, akuri ꞊awooze-wo ne aməmo nziri ne nsaa.
3a06070095	Idaa yee sa ꞊isuwa nwuwamaw me biira sa ꞊uruwa, sa ikuri ꞊iniyaze nigbaarono sa hare avara ata ane, idaa yeen ꞊icesize apuwa anowa ha Ashini.
3a0608008a	Ama idaay sa ꞊ikattize ikana ne mptya nraama, azaa apuwa sa ata aciye ne ina, a idaa ye uzira wo apuwa anowa, ata apabe ina niya umanne.
3a06090087	Aruwanke ham, kuwede sa tire ne anaza nuwa, ꞊tigofe ne aməmo iruwa yooro a ꞊inyaana ne uwunda unoo sa uta udafe ne ye niya utubsa.
3a060a00c4	Ashini haza a bore uzira wo anowa, uza ushame-wo ne nituma neye, a uyemew sa ⁺idonke-wo wərike unyante wo niziya newo, sa ˂ikikande agana hawo, ikuri ˃ire ne ꞊uniya wo ubusa ne ukande woha.
3a060b006b	Titare kuwede bijebu une ubusa ne uyane wo nituma gay nuwaw niya umanne, wərike uwuna wo iruwa yee ungmaa.
