28011000ce	ⲒⲀⲔⲰⲂ ⲆⲈ ⲀϤϪⲪⲈ ⲒⲰⲤⲎⲪ ⲠϨⲀⲒ ⲘⲘⲀⲢⲒⲀ ⲐⲎ ⲈⲦⲀⲤⲘⲈⲤ ⲒⲎⲤⲞⲨⲤ ⲪⲎ ⲈⲦⲞⲨⲘⲞⲨϮ ⲈⲢⲞϤ ϪⲈ ⲠⲬⲢⲒⲤⲦⲞⲤ.
280111018b	ϪⲰⲞⲨ ⲚⲒⲂⲈⲚ ⲒⲤϪⲈⲚ ⲀⲂⲢⲀⲀⲘ ϢⲀ ⲆⲀⲨⲒⲆ ⲒⲆ ⲚϪⲰⲞⲨ ⲞⲨⲞϨ ⲒⲤϪⲈⲚ ⲆⲀⲨⲒⲆ ϢⲀ ⲠⲒⲞⲨⲰⲦⲈⲂ ⲈⲂⲞⲖ ⲚⲦⲈⲂⲀⲂⲨⲖⲰⲚ ⲒⲆ ⲚϪⲰⲞⲨ ⲞⲨⲞϨ ⲒⲤϪⲈⲚ ⲠⲒⲞⲨⲰⲦⲈⲂ ⲈⲂⲞⲖ ⲚⲦⲈⲂⲀⲂⲨⲖⲰⲚ ϢⲀ ⲠⲬⲢⲒⲤⲦⲞⲤ ⲒⲆ ⲚϪⲰⲞⲨ.
2801120159	ⲠϪⲒⲚⲘⲒⲤⲒ ⲚⲒⲎⲤⲞⲨⲤ ⲠⲬⲢⲒⲤⲦⲞⲤ ⲚⲈⲞⲨ ⲠⲀⲒⲢⲎϮ ⲈⲦⲀⲨⲰⲠ ⲚⲤⲀⲦⲈϤⲘⲀⲨ ⲘⲀⲢⲒⲀ ⲚⲒⲰⲤⲎⲪ ⲘⲠⲀⲦⲞⲨⲤⲞⲨⲈⲚ ⲚⲞⲨⲈⲢⲎⲞⲨ ⲀⲨϪⲈⲘⲤ ⲈⲤⲘⲂⲞⲔⲒ ⲈⲂⲞⲖ ϦⲈⲚⲞⲨⲠⲚⲈⲨⲘⲀⲈϤⲞⲨⲀⲂ.
28011300c4	ⲒⲰⲤⲎⲪ ⲆⲈ ⲠⲈⲤϨⲀⲒ ⲚⲈⲞⲨⲐⲘⲎⲒ ⲠⲈ ⲞⲨⲞϨ ⲚϤⲞⲨⲰϢ ⲀⲚ ⲈⲀⲒⲤ ⲚⲤⲢⲀϨ ⲀϤⲤⲞϬⲚⲒ ⲈⲬⲀⲤ ⲈⲂⲞⲖ ⲚⲬⲰⲠ.
28011401fa	ⲚⲀⲒ ⲆⲈ ⲈⲦⲀϤⲘⲞⲔⲘⲈⲔ ⲈⲢⲰⲞⲨ ϨⲎⲠⲠⲈ ⲒⲤ ⲞⲨⲀⲄⲄⲈⲖⲞⲤ ⲚⲦⲈⲠϬⲞⲒⲤ ⲀϤⲞⲨⲞⲚϨϤ ⲈⲒⲰⲤⲎ ⲪϦⲈⲚ ⲞⲨⲢⲀⲤⲞⲨⲒ ⲈϤϪⲰ ⲘⲘⲞⲤ ϪⲈ ⲒⲰⲤⲎⲪ ⲠϢⲎⲢⲒ ⲚⲆⲀⲨⲒⲆ ⲘⲠⲈⲢⲈⲢϨⲞϮ ⲈϢⲈⲠ ⲘⲀⲢⲒⲀ ⲦⲈⲔⲤϨⲒⲘⲒ ⲈⲢⲞⲔ ⲪⲎ ⲄⲀⲢ ⲈⲦⲈⲤⲚⲀⲘⲀⲤϤ ⲞⲨⲈⲂⲞⲖ ϦⲈⲚⲞⲨⲠⲚⲈⲨⲘⲀⲈϤⲞⲨⲀⲂ ⲠⲈ.
28011500e9	ⲈⲤⲈⲘⲒⲤⲒ ⲆⲈ ⲚⲞⲨϢⲎⲢⲒ ⲈⲔⲈⲘⲞⲨϮ ⲈⲠⲈϤⲢⲀⲚ ϪⲈ ⲒⲎⲤⲞⲨⲤ ⲚⲐⲞϤ ⲄⲀⲢ ⲈⲐⲚⲀⲚⲞϨⲈⲘ ⲘⲠⲈϤⲖⲀⲞⲤ ⲈⲂⲞⲖ ϦⲈⲚⲚⲞⲨⲚⲞⲂⲒ.
28011600e3	ⲪⲀⲒ ⲆⲈ ⲦⲎⲢϤ ⲀϤϢⲰⲠⲒ ϨⲒⲚⲀ ⲚⲦⲈϤϪⲰⲔ ⲈⲂⲞⲖ ⲚϪⲈⲪⲎ ⲈⲦⲀ ⲠϬⲞⲒⲤ ϪⲞϤ ⲈⲂⲞⲖ ϨⲒⲦⲞⲦϤ ⲘⲠⲒⲠⲢⲞⲪⲎⲦⲎⲤ ⲈϤϪⲰ ⲘⲘⲞⲤ.
2801170127	ϪⲈ ϨⲎⲠⲠⲈ ⲒⲤ ϮⲠⲀⲢⲐⲈⲚⲞⲤ ⲈⲤⲈⲈⲢⲂⲞⲔⲒ ⲞⲨⲞϨ ⲈⲤⲈⲘⲒⲤⲒ ⲚⲞⲨϢⲎⲢⲒ ⲈⲨⲈⲘⲞⲨϮ ⲈⲠⲈϤⲢⲀⲚ ϪⲈ ⲈⲘⲘⲀⲚⲞⲨⲎⲖ ⲪⲎ ⲈⲦⲈϢⲀⲨⲞⲨⲀϨⲘⲈϤ ϪⲈ ⲪⲚⲞⲨϮ ⲚⲈⲘⲀⲚ.
2801180134	ⲈⲦⲀϤⲦⲰⲚϤ ⲆⲈ ⲚϪⲈⲒⲰⲤⲎⲪ ⲈⲂⲞⲖ ϦⲈⲚⲠⲒⲚⲔⲞⲦ ⲀϤⲒⲢⲒ ⲔⲀⲦⲀ ⲪⲢⲎϮ ⲈⲦⲀ ⲠⲒⲀⲄⲄⲈⲖⲞⲤ ⲚⲦⲈⲠϬⲞⲒⲤ ⲞⲨⲀϨⲤⲀϨⲚⲒ ⲚⲀϤ ⲞⲨⲞϨ ⲀϤϢⲈⲠ ⲘⲀⲢⲒⲀ ⲦⲈϤⲤϨⲒⲘⲒ ⲈⲢⲞϤ.
28011900a6	ⲞⲨⲞϨ ⲘⲠⲈϤⲤⲞⲨⲰⲚⲤ ϢⲀⲦⲈⲤⲘⲒⲤⲒ ⲘⲠⲒϢⲎ ⲢⲒ ⲞⲨⲞϨ ⲀϤⲘⲞⲨϮ ⲈⲠⲈϤⲢⲀⲚ ϪⲈ ⲒⲎⲤⲞⲨⲤ.
