Holy-Bible---Boga---Boga-Bible---Standard-Edition.sqlite	Boga Bible	Boka Bible	Boga	Boka	335872
Holy-Bible---Bondei---Bondei-Bible---Standard-Edition.sqlite	Bondei Bible	Bondei Bible	Bondei	Bondei	520192
Holy-Bible---Borna---Borna-Latin-Bible---Standard-Edition.sqlite	Borna Bible Latin Version	Handr Taara	Borna	Borni	1110016
Holy-Bible---Breton---Breton-Gospels---Standard-Edition.sqlite	Breton Gospels	an Bibl	Breton	Brezhoneg	516096
Holy-Bible---Bu---Bauchi-Bu-Bible---Standard-Edition.sqlite	Bu Bauchi Bible	Geji Bauchi Bible	Bu	Geji	258048
Holy-Bible---Bu---Bu-Bible---Standard-Edition.sqlite	Bu Bible	Jida Bible	Bu	Jida	933888
Holy-Bible---Bugun---Bugun-Bible---Standard-Edition.sqlite	Bugun Bible	Iwo Surua Mua Wie Pha Bible	Bugun	Khowa	1384448
Holy-Bible---Bulgarian---Bulgarian-Bible---Standard-Edition.sqlite	Bulgarian Bible	Българска Библия	Bulgarian	Българска	7143424
Holy-Bible---Bwile---Bwile-Bible---Standard-Edition.sqlite	Bwile Bible	Bwile Bible	Bwile	Bwile	176128
Holy-Bible---Calo---Calo-Bible---Standard-Edition.sqlite	Calo Gospel of Luke	Evangelio Español Romaní de Lucas	Calo	Romaní	176128
Holy-Bible---Cebuano---Cebuano-Bible---Standard-Edition.sqlite	Cebuano Bible	Balaan nga Bibliya	Cebuano	Cebuano	5586944
Holy-Bible---Cebuano---Cebuano-Open-Bible---Standard-Edition.sqlite	Cebuano Open Bible	Ang Pulong sa Dios	Cebuano	Cebuano	5189632
Holy-Bible---Cebuano---Cebuano-Philippine---Standard-Edition.sqlite	Cebuano Bible, Revelation	Cebuano Ang Biblia, Pinadayag	Cebuano	Cebuano	5677056
Holy-Bible---Chamorro---Chamorro-Gospels-Acts-and-Psalms---Standard-Edition.sqlite	Chamorro Gospels, Acts, Psalms	Y Cuatro Ebangelio Sija Yan Y Checho Y Apostoles Yan Y Salmo Sija	Chamorro	Chamorro	925696
Holy-Bible---Cherokee---Cherokee-New-Testament---Standard-Edition.sqlite	Cherokee New Testament 1860	ᏣᎳᎩ ᎦᏬᏂᎯᏍᏗ	Cherokee	ᏣᎳᎩ ᎦᏬᏂᎯᏍᏗ	1818624
Holy-Bible---Chhattisgarhi---Chhattisgarhi-Bible---Standard-Edition.sqlite	Chhattisgarhi Bible	सुतंतर समकालीन छत्तीसगढ़ी अनुवाद	Chhattisgarhi	छत्तीसगढ़ी	10584064
Holy-Bible---Chichewa---Chichewa-Bible---Standard-Edition.sqlite	Chichewa Bible	Tsekulani Mawu a Mulungu	Chichewa	Chichewa	4788224
Holy-Bible---Chin-Daai---Daai-Chin-Bible---Standard-Edition.sqlite	Daai Chin Bible	Dai Cangcim Kthai	Chin, Daai	Daai	1175552
Holy-Bible---Chin-Eastern-Khumi---Asang-Khongca-Bible---Standard-Edition.sqlite	Eastern Khumi Chin Bible	Asang Khongca Bible	Chin, Eastern Khumi	Asaang Khongca	5132288
Holy-Bible---Chin-Matu---Matupi-Chin-2019---Standard-Edition.sqlite	Matupi Chin Standard Bible 2019	Baibal Olcim	Chin, Matu	Matupi Chin	4620288
Holy-Bible---Chin-Matu---Matupi-Chin-Bible---Standard-Edition.sqlite	Matupi Chin Standard Bible	Baibal Olcim	Chin, Matu	Matupi Chin	4620288
Holy-Bible---Chin-Matu---Tuivang-Matu-Chin-Bible---Standard-Edition.sqlite	Tuivang Matu Chin Bible	Tuivang Holy Bible	Chin, Matu	Tuivang	1634304
Holy-Bible---Chin-Siyin---Siyin-Chin-Bible---Standard-Edition.sqlite	Siyin Chin Bible	Tinaung Takluem	Chin, Siyin	Siyin Chin	1171456
Holy-Bible---Chin-Thado---Chongthu-Bible---Standard-Edition.sqlite	Chongthu Bible	Pathen Lekhabu Theng	Chin, Thado	Chongthu	5210112
Holy-Bible---Chin-Thaiphum---Thai-Phum-Bible---Standard-Edition.sqlite	Thai Phum Holy Bible	Thai Phum Holy Bible	Chin, Thaiphum	Thai Phum	4800512
Holy-Bible---Chinese---Chinese-Easy-to-Read---Standard-Edition.sqlite	Free Easy to Read Bible	免费的易读圣经	Chinese	汉语	995328
Holy-Bible---Chinese---Chinese-Sigao-Bible---Standard-Edition.sqlite	Sīgāo Běn, Bible	思高本 聖經：思高聖經學會譯釋	Chinese	漢語	3911680
Holy-Bible---Chinese---Chinese-Union-Version-Simplified---Standard-Edition.sqlite	Chinese Union Version Simplified	新标点和合本	Chinese	汉语	3727360
Holy-Bible---Chinese---Chinese-Union-Version-Traditional---Standard-Edition.sqlite	Chinese Union Version Traditional	新標點和合本	Chinese	漢語	3735552
Holy-Bible---Chinese---Mandarin-Bible-Simplified---Standard-Edition.sqlite	Mandarin Open Bible (Simplified)	圣经当代译本开放资源	Chinese	汉语	3649536
Holy-Bible---Chinese---Mandarin-Bible-Traditional---Standard-Edition.sqlite	Mandarin Open Bible (Traditional)	聖經，當代譯本開放資源	Chinese	汉语	3649536
Holy-Bible---Chiyawo---Yao---Standard-Edition.sqlite	Yao New Testament	Lilangano lya Sambano	Ciyawo	Ciyawo	1339392
Holy-Bible---Cishingini---Cishingini-Bible---Standard-Edition.sqlite	Cishingini Shingini Bible	Cishingini Shingini Bible	Cishingini Shingini	Cishingini Shingini	3522560
Holy-Bible---Coptic---Coptic-Boharic-NT---Standard-Edition.sqlite	Coptic Boharic New Testament	ϯⲙⲉⲧⲣⲉⲙⲛ̀ⲭⲏⲙⲓ	Coptic Boharic	ϯⲙⲉⲧⲣⲉⲙⲛ̀ⲭⲏⲙⲓ	2281472
Holy-Bible---Coptic---Coptic-NT---Standard-Edition.sqlite	Coptic New Testament	ⲧⲙⲛ̄ⲧⲣⲙ̄ⲛ̄ⲕⲏⲙⲉ	Coptic	ⲧⲙⲛ̄ⲧⲣⲙ̄ⲛ̄ⲕⲏⲙⲉ	2457600
Holy-Bible---Coptic---Sahidic-Bible---Standard-Edition.sqlite	Coptic Sahidic NT: Askeland, Schulz	ⲧⲙⲛ̄ⲧⲣⲙ̄ⲛ̄ⲕⲏⲙⲉ	Coptic	ⲧⲙⲛ̄ⲧⲣⲙ̄ⲛ̄ⲕⲏⲙⲉ	2101248
Holy-Bible---Coptic---Sahidic-Coptic-Horner---Standard-Edition.sqlite	Coptic Sahidic NT: Horner	ⲧⲙⲛ̄ⲧⲣⲙ̄ⲛ̄ⲕⲏⲙⲉ	Coptic	ⲧⲙⲛ̄ⲧⲣⲙ̄ⲛ̄ⲕⲏⲙⲉ	2215936
Holy-Bible---Croatian---Croatian-Bible---Standard-Edition.sqlite	Croatian Bible	Hrvatski Biblija	Croatian	Hrvatski	3928064
Holy-Bible---Croatian---Croatian-Open-Bible---Standard-Edition.sqlite	Croatian Open Bible	Open Knjiga O Kristu	Croatian	Hrvatski	995328
Holy-Bible---Cung---Chung-Bible---Standard-Edition.sqlite	Chung Bible	Kiŋwakti ki Nyɔ Miŋkaiŋ Mifiaŋ	Cung	Chung	1531904
Holy-Bible---Czech---Czech-Bible-Kralicka---Standard-Edition.sqlite	Czech Bible Kralicka 1613	Czech Bible Kralicka 1613	Czech	Čeština	4427776
Holy-Bible---Czech---Kralicka---Standard-Edition.sqlite	Czech Kralická Bible 1613	Bible Kralická 1613	Czech	Čeština	4444160
Holy-Bible---Czech---Living-Bible---Standard-Edition.sqlite	Czech Living New Testament	Open Slovo Na Cestu	Czech	Čeština	1048576
Holy-Bible---Danish---Danish-1871-1907---Standard-Edition.sqlite	Danish Bible OT1871 / NT1907	Dansk Bibel	Danish	Dansk	4448256
Holy-Bible---Danish---Danish-1931-1907---Standard-Edition.sqlite	Danish Bible OT1931 / NT1907	Dansk Bibel	Danish	Dansk	4206592
Holy-Bible---Danish---Danish-Bible---Standard-Edition.sqlite	Danish Bible	Dansk Bibel	Danish	Dansk	4190208
Holy-Bible---Dawro---Dawuro-Bible---Standard-Edition.sqlite	Dawuro Bible, Ethiopian (Latin)	Geeshsha Mas'aafaa	Dawro	Dawro	5222400
Holy-Bible---Desiya---Desiya-Bible---Standard-Edition.sqlite	Desiya New Testament	ସତିଅର୍‌ ବାଟ୍‌	Desiya	ଦେଶିଆ	3411968
Holy-Bible---Dhanki---Dhanki-Devanagari-Bible---Standard-Edition.sqlite	Dhanki Devanagari Bible	परमेश्वरन सत्य वचन	Dhanki	Dhanki	4878336
Holy-Bible---Dholuo---Dholuo-Bible---Standard-Edition.sqlite	Dholuo Bible	Moting’o Loko Manyien	Dholuo	Dholuo	4325376
Holy-Bible---Dombe---Dombe-Bible---Standard-Edition.sqlite	Dombe Bible	Dombe Bible	Dombe	Dombe	1097728
Holy-Bible---Dongxiang---Donxian-Bible---Standard-Edition.sqlite	Dongxiang Santa Bible	Hudani Kielien	Dongxiang	Santa	991232
Holy-Bible---Dutch---Canisiusvertaling---Standard-Edition.sqlite	Dutch Petrus Canisius Translation	Nederlandse Petrus Canisiusvertaling Bijbel	Dutch	Nederlandse	4587520
Holy-Bible---Dutch---Leuvense-Bible---Standard-Edition.sqlite	Leuvense Bible	Leuvense Bijbel	Dutch	Nederlandse	5279744
Holy-Bible---Dutch---Schrift---Standard-Edition.sqlite	Dutch Holy Bible	De Heilige Schrift 1917	Dutch	Nederlandse	4898816
Holy-Bible---Dutch---Statenvertaling---Standard-Edition.sqlite	Dutch States Translation	Nederlandse Statenvertaling Bijbel	Dutch	Nederlandse	4902912
Holy-Bible---Duya---Duya-Bible---Standard-Edition.sqlite	Idun Duya Bible	Ibibemuwe-Num Iyiki Ifa Ru Dũya	Idun	Dũya	1249280
Holy-Bible---Ekajuk---Ekajuk-Bible---Standard-Edition.sqlite	Kajuk Bible	Ekajuk Bible	Kajuk	Ekajuk	2473984
Holy-Bible---English---A-Conservative-Version---Standard-Edition.sqlite	A Conservative Version	A Conservative Version	English	English	4657152
Holy-Bible---English---Aionian-Bible---Standard-Edition.sqlite	Aionian Bible	Aionian Bible	English	English	4595712
Holy-Bible---English---American-Standard-Version-1901---Standard-Edition.sqlite	American Standard Version 1901	American Standard Version 1901	English	English	4730880
Holy-Bible---English---Anderson-Bible---Standard-Edition.sqlite	Anderson New Testament 1864	Anderson New Testament 1864	English	English	1093632
Holy-Bible---English---Berean-Standard---Standard-Edition.sqlite	Berean Standard Bible	Berean Standard Bible	English	English	4435968
Holy-Bible---English---Bible-in-Basic-English---Standard-Edition.sqlite	Bible in Basic English	Bible in Basic English	English	English	4743168
Holy-Bible---English---Brenton-English-Septuagint---Standard-Edition.sqlite	Brenton English Septuagint	Brenton English Septuagint	English	English	3633152
Holy-Bible---English---British-English-Septuagint-2012---Standard-Edition.sqlite	British English Septuagint 2012	British English Septuagint 2012	English	English	3633152
Holy-Bible---English---Catholic-Public-Domain---Standard-Edition.sqlite	Catholic Public Domain Version	Catholic Public Domain Version	English	English	4907008
Holy-Bible---English---Darby-Translation---Standard-Edition.sqlite	Darby Translation	Darby Translation	English	English	4673536
Holy-Bible---English---Douay-Rheims-1899---Standard-Edition.sqlite	Douay-Rheims 1899	Douay-Rheims 1899	English	English	4628480
Holy-Bible---English---Family-35-NT---Standard-Edition.sqlite	Family 35 New Testament	Family 35 New Testament	English	English	1101824
Holy-Bible---English---Free-Bible-Version---Standard-Edition.sqlite	Free Bible Version	Free Bible Version	English	English	4550656
Holy-Bible---English---Geneva-Bible---Standard-Edition.sqlite	Geneva Bible	Geneva Bible	English	English	4755456
Holy-Bible---English---Godbey-Bible---Standard-Edition.sqlite	Godbey New Testament	Godbey New Testament	English	English	1081344
Holy-Bible---English---Gods-Living-Word---Standard-Edition.sqlite	God's Living Word	God's Living Word	English	English	151552
Holy-Bible---English---Haweis-Bible---Standard-Edition.sqlite	Haweis New Testament	Haweis New Testament	English	English	1122304
Holy-Bible---English---Jewish-Bible---Standard-Edition.sqlite	Jewish Bible in English	Jewish Bible in English	English	English	3641344
Holy-Bible---English---King-James-Version---Standard-Edition.sqlite	King James Version, Annotated	King James Version, Annotated	English	English	4759552
Holy-Bible---English---King-James-Version-American---Standard-Edition.sqlite	King James Version, American	King James Version, American	English	English	4661248
Holy-Bible---English---King-James-Version-Cambridge---Standard-Edition.sqlite	King James Version, Purified	King James Version, Purified	English	English	4710400
Holy-Bible---English---King-James-Version-Restored-Name---Standard-Edition.sqlite	King James Version, Restored	King James Version, Restored	English	English	4694016
Holy-Bible---English---King-James-Version-Revised---Standard-Edition.sqlite	King James Version, Revised	King James Version, Revised	English	English	4689920
Holy-Bible---English---King-James-Version-Updated---Standard-Edition.sqlite	King James Version, Updated	King James Version, Updated	English	English	4726784
Holy-Bible---English---LXX2012-U-S-English---Standard-Edition.sqlite	LXX: Septuagint, English 2012	LXX: Septuagint, English 2012	English	English	3624960
Holy-Bible---English---Leeser-Tanakh---Standard-Edition.sqlite	Leeser Tanakh Old Testament	Leeser Tanakh Old Testament	English	English	3772416
Holy-Bible---English---Literal-Standard---Standard-Edition.sqlite	Literal Standard Version	Literal Standard Version	English	English	4681728
Holy-Bible---English---Living-Oracles-NT---Standard-Edition.sqlite	Living Oracles NT	Living Oracles NT	English	English	1073152
Holy-Bible---English---Majority-Standard-Bible---Standard-Edition.sqlite	Majority Standard Bible	Majority Standard Bible	English	English	4448256
Holy-Bible---English---Montgomery-NT---Standard-Edition.sqlite	Montgomery New Testament	Montgomery New Testament	English	English	1097728
Holy-Bible---English---New-Heart-Aramaic---Standard-Edition.sqlite	New Heart English Bible, Aramaic	New Heart English Bible, Aramaic	English	English	4616192
Holy-Bible---English---New-Heart-Jehovah---Standard-Edition.sqlite	New Heart English Bible, Jehovah	New Heart English Bible, Jehovah	English	English	4603904
Holy-Bible---English---New-Heart-Jesus-Messiah---Standard-Edition.sqlite	New Heart English Bible, Messiah	New Heart English Bible, Messiah	English	English	4612096
Holy-Bible---English---New-Heart-Messianic---Standard-Edition.sqlite	New Heart English Bible, Yeshua	New Heart English Bible, Yeshua	English	English	4616192
Holy-Bible---English---New-Heart-Standard---Standard-Edition.sqlite	New Heart English Bible, Standard	New Heart English Bible, Standard	English	English	4612096
Holy-Bible---English---New-Heart-YHWH---Standard-Edition.sqlite	New Heart English Bible, YHWH	New Heart English Bible, YHWH	English	English	4583424
Holy-Bible---English---Noyes---Standard-Edition.sqlite	Noyes Bible	Noyes Bible	English	English	2551808
Holy-Bible---English---One-Unity-Resource-Bible---Standard-Edition.sqlite	One Unity Resource Bible	One Unity Resource Bible	English	English	2191360
Holy-Bible---English---Open-English-Bible-Commonwealth---Standard-Edition.sqlite	Open English Bible, Commonwealth	Open English Bible, Commonwealth	English	English	1925120
Holy-Bible---English---Open-English-Bible-US---Standard-Edition.sqlite	Open English Bible, US	Open English Bible, US	English	English	1925120
Holy-Bible---English---Orthodox-Jewish-Bible---Standard-Edition.sqlite	The Orthodox Jewish Bible	Tanakh and B'rit Chadasha	English	English	5107712
Holy-Bible---English---Plain-English-Version---Standard-Edition.sqlite	Aboriginal Plain English Version	Aboriginal Plain English Version	English	English	1683456
Holy-Bible---English---Revised-Version---Standard-Edition.sqlite	Revised Version 1895	Revised Version 1895	English	English	4734976
Holy-Bible---English---Rotherham-Bible---Standard-Edition.sqlite	Rotherham Emphasized Bible	Rotherham Emphasized Bible	English	English	5005312
Holy-Bible---English---STEPBible-Amalgamant---Standard-Edition.sqlite	STEPBible, Amalgamant	STEPBible, Amalgamant	English	English	5046272
Holy-Bible---English---STEPBible-Concordant---Standard-Edition.sqlite	STEPBible, Concordant	STEPBible, Concordant	English	English	5394432
Holy-Bible---English---Syriac-Peshitta-Etheridge---Standard-Edition.sqlite	Syriac Peshitta Etheridge	Syriac Peshitta Etheridge	English	English	1110016
Holy-Bible---English---Syriac-Peshitta-Murdock---Standard-Edition.sqlite	Syriac Peshitta Murdock	Syriac Peshitta Murdock	English	English	1110016
